31_0Skel_31_0Skel,31_0Skel_31_0Bulge,31_0Skel_31_50Skel,31_0Skel_31_50Bulge,31_0Bulge_31_0Skel,31_0Bulge_31_0Bulge,31_0Bulge_31_50Skel,31_0Bulge_31_50Bulge,31_50Skel_31_0Skel,31_50Skel_31_0Bulge,31_50Skel_31_50Skel,31_50Skel_31_50Bulge,31_50Bulge_31_0Skel,31_50Bulge_31_0Bulge,31_50Bulge_31_50Skel,31_50Bulge_31_50Bulge
5364.286634181687,7151.374655190379,6124.291451782997,7932.816058342978,7049.485103683436,5685.843352282799,7071.532748316123,7271.72405636568,5639.454176423775,7165.443080261365,5174.963403057889,7302.1353760818065,7962.668210822912,7224.681840662201,7737.523382953006,6346.146162999491
4774.07478875297,7313.343004526928,5927.484074515726,7670.97134056524,6944.667103928935,5829.2182755102,7545.428025009536,7546.582267388271,5868.922307599508,7653.732854384982,4662.798813478686,7375.815785461503,7454.82651263289,7542.79116989175,7024.2134850280745,5819.2751023354185
4248.80167151115,7169.381560255201,5641.072273012579,7493.915896841534,6959.676417462308,5383.727111900983,7370.273385000879,7194.498639185237,5952.54892307685,7684.48454624915,4262.671589234263,7120.204389742552,7920.403401324563,7178.141612752446,7618.49484350851,6092.479068380529
4539.598573466551,6962.32917594638,5827.502535702026,7662.135932946624,6920.992441289905,5375.784016462951,7286.001290615792,7202.697069517282,5796.941473814522,7123.476884671295,4727.394028047405,6978.961788606805,7494.988044967773,7605.82187171061,6969.370712856314,5670.540206589913
4472.458685938708,6967.740057519467,5828.772770585202,7648.238276723287,6909.381793774,5417.3669103549755,7093.570258344321,7277.852479160421,5926.288196072406,7405.175091668895,4342.604850416462,6904.3961468302105,7504.400450563798,7627.773660051411,6952.054795278692,5634.006285619995
4472.458685938708,6967.740057519467,5828.772770585202,7648.238276723287,7031.88469736684,5667.220528246071,7062.2227314785205,7263.301984853155,5796.941473814522,7123.476884671295,4727.394028047405,6978.961788606805,7640.53882595259,7363.692933863861,6888.921691238594,5352.432685462021
4457.186979384151,6967.331141543667,5823.6205310335345,7644.84341986235,6934.740367611815,5808.726896020808,7536.697697410202,7525.005880862773,5636.837607740451,7190.768896111559,5338.4848712027,7417.5450112376475,7335.368285125455,7712.229341754447,6613.2215815049585,5277.242427296341
4403.859302086157,7219.570218457008,5749.560027291919,7546.184881688691,6910.5736709033645,5405.781967222861,7101.935593441457,7278.5952127842365,5880.67957938136,7682.066254786841,4567.17748197658,7354.2958000223525,7471.1967366467015,7729.963404506412,6802.9839416585255,5377.9237008750715
5068.07109138142,7037.334888222826,6045.873488706942,7861.4896890887285,6905.631448656075,5387.245662349777,7207.298275230525,7239.886679034003,5940.135392528187,7721.55572330543,4274.933184471276,7183.951803739807,7602.204136843482,7374.84808009651,6840.24061996612,5332.92482173393
5330.3843216160285,7138.219386109195,6120.49716997538,7924.952516107056,6978.933877914774,5402.329228348349,7428.323771494211,7210.535550428466,5771.265902756928,7123.950263877014,4794.735837531306,7023.928545962383,7338.083956226942,7662.643180020367,6608.542182346857,5243.038773612138
4698.837045699024,7304.628783111359,5916.674570599108,7663.684657965177,6920.733225407158,5397.853322025454,7132.961066106036,7285.836616465089,5937.9034888713895,7494.433347615211,4301.19209263381,6946.558083545172,7452.4004701004515,7740.4719121159005,6778.428307764912,5355.497130457364
4234.703222445886,7169.107612834476,5632.407461356443,7492.9233876888975,6914.918470280474,5379.840336592544,7263.327938272349,7211.1514931746815,5820.832857615394,7143.750527904335,4662.887844140468,6940.503595178811,7976.018152223012,7239.982914768193,7771.301848064084,6418.018833803476
4512.9000176837735,6967.118786750115,5835.78971424319,7657.647165311284,6969.783139390619,5388.235573027684,7390.671716508873,7194.747742917766,5895.447145006156,7712.348040808515,4448.1709596286655,7308.916003783834,7385.155896808338,7546.631327783361,6646.442002811815,5252.953394140796
4379.790278997968,7208.6457781756835,5723.0850203493765,7530.802536060279,6915.168840066318,5396.454710507255,7116.221977265468,7282.779017235113,5925.479277019433,7379.808798018422,4365.533670251242,6891.538310362883,7889.820013329017,7149.047473851371,7491.91467461421,5843.51897625168
4381.40352836846,6987.779883641214,5820.8507196001465,7649.371470494783,7391.409231061713,6142.892174716176,7323.079268386758,7520.729490498096,5642.893479092595,7158.186839316245,5132.491382166426,7268.286438457317,7519.786870592266,7677.760303542824,6900.128942007525,5533.38112172376
5111.796435268479,7054.599406456813,6062.758240503343,7868.5703702709325,6919.747645420757,5742.42653601153,7520.747788260465,7458.644177601196,5635.719604482768,7197.090695334718,5389.673827830471,7451.600583721144,7640.153787763078,7363.466548478235,6888.901500063816,5352.519041671987
5259.36138451972,7112.616964692915,6103.790086336822,7905.589439966833,6956.355709547163,5383.1762512828145,7359.722557336995,7196.079346401665,5754.484953165418,7122.2528245342255,4817.8319532205305,7036.134402626415,8058.813936383581,7434.229455972388,7996.142978628358,6980.693154486706
