23Skel_23Skel,23Skel_23Bulge,23Skel_31Skel,23Skel_31Bulge,23Skel_26Skel,23Skel_26Bulge,23Bulge_23Skel,23Bulge_23Bulge,23Bulge_31Skel,23Bulge_31Bulge,23Bulge_26Skel,23Bulge_26Bulge,31Skel_23Skel,31Skel_23Bulge,31Skel_31Skel,31Skel_31Bulge,31Skel_26Skel,31Skel_26Bulge,31Bulge_23Skel,31Bulge_23Bulge,31Bulge_31Skel,31Bulge_31Bulge,31Bulge_26Skel,31Bulge_26Bulge,26Skel_23Skel,26Skel_23Bulge,26Skel_31Skel,26Skel_31Bulge,26Skel_26Skel,26Skel_26Bulge,26Bulge_23Skel,26Bulge_23Bulge,26Bulge_31Skel,26Bulge_31Bulge,26Bulge_26Skel,26Bulge_26Bulge
5282.436681660066,7718.138199248082,6578.780018917187,8548.190532271094,6759.377051266738,8774.343621549837,7633.675621202183,6232.194865434693,8102.152945490018,8669.76473771178,8734.11812742421,9722.011703404325,5883.333349222642,8124.913991630051,4353.6222318650425,7127.757668424618,6599.612758555405,8647.063218981504,7957.988823174641,8816.529582087445,7276.477947046191,5298.907785292415,8498.448577465415,9538.166189561643,6483.369787766487,8455.701042455978,6837.93509767235,8677.335464033893,4758.387209338844,7523.329027112923,8400.158002804012,9340.032758890326,8715.656777482485,9647.855616265879,7565.109515555195,5031.896337661334
4895.267425955703,7366.865841925151,6172.977775180306,8178.424738745265,6333.500421564938,8349.186951107096,7758.1559640836695,6225.191241694379,8477.836673302829,9110.67826800677,8871.667332986715,9341.282973770132,6054.341319786192,8203.508277238829,4660.532344849174,7376.312743986349,7049.199485616858,9099.86552040191,8352.320804201769,9185.026436805956,7315.11672777466,6008.900045396202,9197.98760584875,10410.074785976043,6496.948883762682,8723.68819129013,6802.954374099514,8820.139241627352,4276.288722239113,7505.235674955364,8416.576176210297,9569.569421816817,8838.685528619806,9830.678343593174,7264.761962425308,4609.855741651676
4754.11596913996,7516.584063395725,5577.513155721565,7807.660886664195,6526.287432370297,8365.908714410623,7193.853353864246,6022.6074070719515,7891.772824615042,8631.234310221667,8481.26615861959,9123.675352701404,5918.640172295262,8100.254083286633,4894.880738739432,7327.109192599706,6571.542453542321,8605.000107343154,8145.778037726533,8891.157201365475,7439.448212036516,5660.799601341929,8660.683357732414,9658.070442562735,6533.835773100013,8721.769471190719,6860.201931690893,8837.099964966796,4559.913179618538,7542.97331177046,8311.686238758995,9330.151592175605,8693.021445679702,9649.314308407389,7332.55506194721,4781.481098791575
4921.485187677971,7490.470206068679,5728.675901063188,7926.974950544296,6528.92497528143,8555.274754212274,7578.509544408081,6133.191621514107,8290.135168869661,8933.21561438421,8748.796587562922,9256.306949041993,6036.500239872111,8198.82772767011,4617.845395763062,7361.954198169277,7033.128405703702,9074.430319644009,7851.559803325012,8794.339132536143,7089.715633181601,5159.772268254312,8560.482302646642,9549.411423361498,6445.804036767725,8732.61385838721,6731.775971197333,8779.657561697679,3996.611278062351,7437.848970508614,8324.443257677302,9398.44982470865,8737.321835848838,9707.06995661369,7292.313025088131,4690.676976069578
4964.682507518074,7506.909572535244,5758.506330400445,7946.315475666666,6527.153489547226,8581.63291426541,6952.051234153122,6016.781213295532,7678.456741176034,8522.969426393927,8279.217015420007,9018.416663619284,6043.785343728169,8199.054376045984,4637.247047900121,7368.098771333703,7039.216991623987,9086.234195898554,8121.255577726268,8996.022896058783,7154.021792299911,5385.5028557350015,8954.337091289872,9992.009973814087,6468.9363878340355,8588.783706726503,6831.070811231807,8727.225554004232,4229.703161074319,7342.683401508661,8311.65161318241,9333.830816441567,8695.450472312295,9652.169359649404,7326.366109211428,4773.454815854589
5403.634075889002,7810.797511707259,6642.575888121659,8609.458420062536,6830.269252740039,8873.038359455544,7456.548597923359,6112.534788339931,7945.984483000491,8534.428793112922,8606.445547920708,9572.163480319587,5910.832432567521,8099.350503304122,4866.025930834781,7321.786968906727,6563.817485047282,8602.851314919604,8156.319758002744,8896.88642399354,7448.687178603383,5689.589835489166,8669.050265332437,9662.01234216755,6420.7346737705,8717.582461899357,6738.386153009729,8717.849718795309,4086.0220292959475,7421.818643911002,8326.758349617421,9404.137566395757,8739.541963506186,9710.227652712234,7289.797196335609,4684.207032178277
4906.4860903474555,7369.71163093642,6191.325324437307,8191.858145496759,6344.788843061606,8361.444521256119,6909.450346558269,6026.420416060555,7641.258464853176,8506.673553205197,8242.842573858767,9003.55604897572,6002.552273348557,8189.897430292176,4509.751998999143,7315.5853869171515,7005.1328226612395,8996.830525348463,8132.466133451754,9003.524692772771,7159.748642880516,5399.615904137572,8965.813462469461,10009.898132695027,6485.386673818143,8422.681794917251,6833.5691384768625,8655.764718055569,4973.980472787983,7621.941902937129,8570.861287150165,9718.062211401546,8951.462398072028,9948.757500197327,7354.18731637574,4908.757083470646
4759.587712043704,7482.0731241847125,5583.905769923644,7811.364328820051,6568.186118128562,8351.560010632866,6436.0771555201045,6235.2638684115545,7068.226938545441,8103.520459031626,7746.639106113733,8789.316708279168,5867.523880686359,8113.235505143046,4502.3055057559495,7222.796032119611,6516.192919421165,8618.944388488613,7842.143917142899,8784.962811484656,7148.93956556415,5165.019835801087,8437.085807843217,9439.086870589465,6480.697040551022,8722.936899625483,6781.538021319074,8811.187306973774,4191.773214082438,7486.248777867219,8444.851965349033,9607.380038424924,8861.411865500177,9857.040813432017,7268.521582862401,4620.921515320718
4859.691945919457,7460.296492754179,5669.651568570233,7888.774354984805,6549.334874802209,8503.01487880653,6858.1213409257,6033.180987180144,7596.675417971236,8487.588772661613,8197.203063178898,8981.517077080389,5988.229903799199,8185.250656808321,4482.993726385632,7304.139735342675,6995.203592619777,8975.348742840279,8364.115509615649,9193.962184301812,7327.852224802506,6049.260277193611,9210.824911847456,10430.152959514546,6536.920983627902,8722.532256126164,6862.652100715631,8835.115058804153,4593.15755116767,7548.278014887545,8614.77314619614,9697.054121601732,8995.84105564352,9944.499642083894,7598.035948284953,5710.204215273237
4991.1919664651095,7518.575013806731,5774.356712572279,7956.133503105612,6528.02033295711,8595.185240119363,7386.250645009439,6075.653631307596,7884.612324021061,8483.135210126175,8556.47616406178,9511.073589884154,5871.632955969841,8121.531591814135,4376.737819012221,7144.764311085025,6557.797982802919,8626.294206879034,7891.734166087181,8828.504980257934,7076.915420333376,5177.78233636712,8653.152201713056,9633.873863782193,6436.938724014447,8732.738813183121,6724.503814541731,8765.44389383337,3981.819657170885,7422.389939885549,8606.274312819625,9709.297190474988,8979.79630083496,9949.458310485761,7506.219995841656,5394.698000855895
