skel1,sf1,skel2,sf2,skel_cond,sf_cond,dist
23,Skel,23,Skel,same,same,0.0
23,Skel,23,Bulge,same,diff,7519.727199425554
23,Skel,31,Skel,diff,same,5944.077472425406
23,Skel,31,Bulge,diff,diff,8075.67262164943
23,Skel,26,Skel,diff,same,6464.322663807458
23,Skel,26,Bulge,diff,diff,8452.033381090172
23,Bulge,23,Skel,same,diff,7519.727199425554
23,Bulge,23,Bulge,same,same,0.0
23,Bulge,31,Skel,diff,diff,8163.315637571119
23,Bulge,31,Bulge,diff,same,8934.11117486514
23,Bulge,26,Skel,diff,diff,8647.995330015954
23,Bulge,26,Bulge,diff,same,9504.706182483606
31,Skel,23,Skel,diff,same,5944.077472425406
31,Skel,23,Bulge,diff,diff,8163.315637571119
31,Skel,31,Skel,same,same,0.0
31,Skel,31,Bulge,same,diff,7268.297397079194
31,Skel,26,Skel,diff,same,6789.305198401416
31,Skel,26,Bulge,diff,diff,8828.570608417003
31,Bulge,23,Skel,diff,diff,8075.67262164943
31,Bulge,23,Bulge,diff,same,8934.11117486514
31,Bulge,31,Skel,same,diff,7268.297397079194
31,Bulge,31,Bulge,same,same,0.0
31,Bulge,26,Skel,diff,diff,8753.342515655479
31,Bulge,26,Bulge,diff,same,9791.34584459972
26,Skel,23,Skel,diff,same,6464.322663807458
26,Skel,23,Bulge,diff,diff,8647.995330015954
26,Skel,31,Skel,diff,same,6789.305198401416
26,Skel,31,Bulge,diff,diff,8753.342515655479
26,Skel,26,Skel,same,same,0.0
26,Skel,26,Bulge,same,diff,7451.715770476961
26,Bulge,23,Skel,diff,diff,8452.033381090172
26,Bulge,23,Bulge,diff,same,9504.706182483606
26,Bulge,31,Skel,diff,diff,8828.570608417003
26,Bulge,31,Bulge,diff,same,9791.34584459972
26,Bulge,26,Skel,same,diff,7451.715770476961
26,Bulge,26,Bulge,same,same,0.0
