31_0Skel_31_0Skel,31_0Skel_31_0Bulge,31_0Skel_31_50Skel,31_0Skel_31_50Bulge,31_0Bulge_31_0Skel,31_0Bulge_31_0Bulge,31_0Bulge_31_50Skel,31_0Bulge_31_50Bulge,31_50Skel_31_0Skel,31_50Skel_31_0Bulge,31_50Skel_31_50Skel,31_50Skel_31_50Bulge,31_50Bulge_31_0Skel,31_50Bulge_31_0Bulge,31_50Bulge_31_50Skel,31_50Bulge_31_50Bulge
0.0,7675.654630062507,6390.675081710851,8264.491393909246,7675.654630062507,0.0,6973.667327884232,7126.549515719371,6390.675081710851,6973.667327884232,0.0,6956.1717920131905,8264.491393909246,7126.549515719371,6956.1717920131905,0.0
0.0,7814.639786963952,6176.443394057781,7443.977028443868,7814.639786963952,0.0,7659.588761806994,7608.585216714077,6176.443394057781,7659.588761806994,0.0,6462.427639827002,7443.977028443868,7608.585216714077,6462.427639827002,0.0
0.0,7096.922854308055,5906.3444701439485,7825.063578016475,7096.922854308055,0.0,7816.397571771794,6558.896553537035,5906.3444701439485,7816.397571771794,0.0,8091.787132642578,7825.063578016475,6558.896553537035,8091.787132642578,0.0
0.0,6641.4938078718405,6387.32878439806,7425.535805583325,6641.4938078718405,0.0,6830.448228337581,7082.850979655014,6387.32878439806,6830.448228337581,0.0,7189.32632448966,7425.535805583325,7082.850979655014,7189.32632448966,0.0
0.0,7001.838687087842,6155.839422856967,7379.119188629494,7001.838687087842,0.0,6958.243169076516,7567.061054332785,6155.839422856967,6958.243169076516,0.0,6610.430016269744,7379.119188629494,7567.061054332785,6610.430016269744,0.0
0.0,7250.268753639412,6269.711715860626,7870.817619536105,7250.268753639412,0.0,6658.966286143818,6687.111857895006,6269.711715860626,6658.966286143818,0.0,6318.797591314347,7870.817619536105,6687.111857895006,6318.797591314347,0.0
0.0,6499.768226637008,4948.932107030769,7436.96389664492,6499.768226637008,0.0,7182.0917565845675,7526.067033982623,4948.932107030769,7182.0917565845675,0.0,7549.510646392917,7436.96389664492,7526.067033982623,7549.510646392917,0.0
0.0,6507.017673250934,6006.805140838181,7274.424994458325,6507.017673250934,0.0,7489.877635849601,7739.716790684269,6006.805140838181,7489.877635849601,0.0,6404.652605723436,7274.424994458325,7739.716790684269,6404.652605723436,0.0
0.0,7338.987804867917,5961.054688559735,7884.402450408021,7338.987804867917,0.0,7727.064190234219,7314.219575593831,5961.054688559735,7727.064190234219,0.0,6864.343304351844,7884.402450408021,7314.219575593831,6864.343304351844,0.0
0.0,7298.251091871257,6325.976683485325,7666.162534149664,7298.251091871257,0.0,7113.326366756976,7549.342686618485,6325.976683485325,7113.326366756976,0.0,6867.041793960482,7666.162534149664,7549.342686618485,6867.041793960482,0.0
