"Model","Classifier","Condition","Acc","CI_Low","CI_High"
"Infant","Infant","SF","0.773918056165547","0.585443775629141","1"
"GBJ","OCS","View","0.8093333333625","0.800147845779881","0.818718085132181"
"GIST","OCS","View","0.537249999975","0.470431892180071","0.603576896311851"
"AlexNet-IN","OCS","View","0.748999999975","0.732527531249756","0.76668367180195"
"ResNet-IN","OCS","View","0.6845833333","0.647191810252918","0.719255675359506"
"AlexNet-SIN","OCS","View","0.8303333333375","0.811816291440955","0.849455562649872"
"ResNet-SIN","OCS","View","0.6645000000125","0.635692894117378","0.695687036140112"
"GBJ","OCS","SF","0.5","0.5","0.5"
"GIST","OCS","SF","0.4927500000125","0.4779166666875","0.505271317837209"
"AlexNet-IN","OCS","SF","0.5","0.5","0.5"
"ResNet-IN","OCS","SF","0.5","0.5","0.5"
"AlexNet-SIN","OCS","SF","0.5","0.5","0.5"
"ResNet-SIN","OCS","SF","0.5","0.5","0.5"
"GBJ","OCS","Size","0.5","0.5","0.5"
"GIST","OCS","Size","0.489","0.458766444721635","0.517566801851686"
"AlexNet-IN","OCS","Size","0.499916666666667","0.485082834998925","0.514839828200293"
"ResNet-IN","OCS","Size","0.510583333333333","0.440884654471545","0.580656650572348"
"AlexNet-SIN","OCS","Size","0.5","0.5","0.5"
"ResNet-SIN","OCS","Size","0.541666666666667","0.485933901515151","0.596250105218855"
"GBJ","ISOF","View","0.5690833333625","0.544184993793423","0.596245272859486"
"GIST","ISOF","View","0.570250000025","0.543998185006759","0.598539732143769"
"AlexNet-IN","ISOF","View","0.657999999975","0.627777083281","0.689955019987343"
"ResNet-IN","ISOF","View","0.63274999995","0.607911131906469","0.658899487927226"
"AlexNet-SIN","ISOF","View","0.704666666725","0.666748491288516","0.741985634950606"
"ResNet-SIN","ISOF","View","0.6104166667","0.585455242980307","0.636694775275805"
"GBJ","ISOF","SF","0.4854166666625","0.38714396013972","0.574946760874672"
"GIST","ISOF","SF","0.471","0.410140775812172","0.532045089291987"
"AlexNet-IN","ISOF","SF","0.4955833333375","0.485277777791667","0.5"
"ResNet-IN","ISOF","SF","0.5","0.5","0.5"
"AlexNet-SIN","ISOF","SF","0.5015","0.499922480616279","0.503737435335461"
"ResNet-SIN","ISOF","SF","0.5085833333375","0.498139534895349","0.530227272731061"
"GBJ","ISOF","Size","0.494416666666667","0.425146755778335","0.56209282160067"
"GIST","ISOF","Size","0.549083333333333","0.456219055434172","0.638842349385032"
"AlexNet-IN","ISOF","Size","0.485083333333333","0.449108052206596","0.522491295651052"
"ResNet-IN","ISOF","Size","0.532666666666667","0.476691367307157","0.590438142230576"
"AlexNet-SIN","ISOF","Size","0.455666666666667","0.391076470588235","0.518501054720134"
"ResNet-SIN","ISOF","Size","0.48775","0.410076281248116","0.565038515233637"
