model,score,CI_low,CI_high
Skeleton,0.8078991929031436,0.7322494892030849,0.8892680780637557
Pixel,0.6084318522137963,0.5602526033253166,0.6449033909855388
CorNet-S,0.5610727485798727,0.5295886634619634,0.5899570198494549
ResNext-SAY,0.5802557922673511,0.5245492284610429,0.6321227920128621
ResNet-IN,0.5657260748707059,0.5450013972384502,0.5881931636847605
ResNet-SIN,0.5730038153428518,0.5260201149346884,0.6223216746688357
FlowNet,0.6722832725683721,0.6103901438317328,0.7303296187073157
Infants,0.8661162566915147,0.7071775862375196,1.0
