"Model","Classifier","Condition","Acc","CI_Low","CI_High"
"Infant","Infant","SF","0.866115883407884","0.678586062147923","1"
"GBJ","OCS","View","0.807555555575","0.796078256348372","0.818360730269337"
"GIST","OCS","View","0.661499999983333","0.633532170866525","0.691092979095035"
"AlexNet-IN","OCS","View","0.972444444466667","0.968399876553268","0.976354166680469"
"ResNet-IN","OCS","View","0.981666666683333","0.97827160498125","0.984944489269113"
"AlexNet-SIN","OCS","View","0.970777777775","0.966818070410043","0.974666666663776"
"ResNet-SIN","OCS","View","0.978944444425","0.975872929575945","0.981871436408625"
"GBJ","OCS","SF","0.5","0.5","0.5"
"GIST","OCS","SF","0.5","0.5","0.5"
"AlexNet-IN","OCS","SF","0.5","0.5","0.5"
"ResNet-IN","OCS","SF","0.5","0.5","0.5"
"AlexNet-SIN","OCS","SF","0.5","0.5","0.5"
"ResNet-SIN","OCS","SF","0.5","0.5","0.5"
"GBJ","OCS","Size","0.5","0.5","0.5"
"GIST","OCS","Size","0.5","0.5","0.5"
"AlexNet-IN","OCS","Size","0.544222222222222","0.528142076502732","0.561639124293785"
"ResNet-IN","OCS","Size","0.775888888888889","0.755483590113947","0.796137042595769"
"AlexNet-SIN","OCS","Size","0.500111111111111","0.5","0.500363636363636"
"ResNet-SIN","OCS","Size","0.644","0.612740674603174","0.675946068075117"
"GBJ","ISOF","View","0.74975","0.715243537460106","0.784759963789746"
"GIST","ISOF","View","0.8951944444125","0.862221527768021","0.926217246403002"
"AlexNet-IN","ISOF","View","0.974999999983333","0.962044667980782","0.98546876352369"
"ResNet-IN","ISOF","View","0.986777777758333","0.981567065071708","0.991025866601877"
"AlexNet-SIN","ISOF","View","0.91463888885","0.886860421978896","0.94095850569567"
"ResNet-SIN","ISOF","View","0.922361111066667","0.895082827065528","0.947311021596243"
"GBJ","ISOF","SF","0.606555555558333","0.545538668995276","0.666560428809783"
"GIST","ISOF","SF","0.532694444458333","0.470058593648903","0.596356706628103"
"AlexNet-IN","ISOF","SF","0.505472222229167","0.494376806064062","0.520021265297049"
"ResNet-IN","ISOF","SF","0.5","0.5","0.5"
"AlexNet-SIN","ISOF","SF","0.514111111108333","0.480140958793913","0.55266976504934"
"ResNet-SIN","ISOF","SF","0.524166666654167","0.491139322902509","0.561856117259914"
"GBJ","ISOF","Size","0.591888888888889","0.533790116232933","0.648479416958258"
"GIST","ISOF","Size","0.515305555555556","0.454480759381571","0.577834241123448"
"AlexNet-IN","ISOF","Size","0.608416666666667","0.571752208267569","0.646370447530864"
"ResNet-IN","ISOF","Size","0.732222222222222","0.688083994708995","0.775262440821085"
"AlexNet-SIN","ISOF","Size","0.620833333333333","0.559780088784437","0.680922371038992"
"ResNet-SIN","ISOF","Size","0.708861111111111","0.6560046048465","0.760574748168498"
