Subj,Age,Gender,FirstTest,skel1,sf1,skel2,sf2,HabStart,HabEnd,HabRatio,Familiar,Novel,Ratio,NonPam,Familiar1,Familiar2,Familiar3,Novel1,Novel2,Novel3,FirstTest_Fix,NonPam_Familiar,NonPam_Novel
2023,9.5,F,Familiar,31_50,Bulge,31_0,Skel,7.88125,4.96433,0.613538,3.34,3.116,0.482652,0,2.86,,3.82,1.187,4.323,3.838,2.86,0,0
2024,7.06667,F,Novel,31_50,Bulge,31_0,Skel,3.3612,1.69275,0.665064,2.11267,1.499,0.415044,0,3.006,1.929,1.403,1.687,1.66,1.15,1.687,1,0
2025,10.8,M,Novel,31_0,Bulge,31_50,Skel,6.479,6.0955,0.515249,3.90433,5.41933,0.581245,1,5.471,2.969,3.273,9.527,4.1,2.631,9.527,0,0
2026,7.6,M,Familiar,31_50,Skel,31_0,Bulge,6.545,3.18075,0.672956,5.30067,5.36433,0.502985,1,5.912,5.722,4.268,8.988,5.241,1.864,5.912,1,1
2027,11.5333,M,Familiar,31_50,Bulge,31_0,Skel,8.4845,2.74167,0.755779,4.507,3.017,0.400984,0,7.733,1.834,3.954,3.948,3.699,1.404,7.733,1,1
2028,6.43333,M,Familiar,31_0,Skel,31_50,Bulge,6.51825,2.3656,0.733719,2.01933,0.918,0.312528,0,3.363,1.077,1.618,0.93,0.919,0.905,3.363,0,0
2029,6.53333,M,Novel,31_0,Skel,31_50,Bulge,6.1975,2.094,0.747452,5.10967,12.746,0.713835,1,2.399,6.807,6.123,4.694,32.895,0.649,4.694,1,1
2030,6.86667,F,Familiar,31_50,Skel,31_0,Bulge,8.87225,4.2205,0.677646,6.717,8.86467,0.568916,1,9.433,1.992,8.726,10.035,9.357,7.202,9.433,1,1
2031,9.46667,M,Novel,31_50,Skel,31_0,Bulge,8.73475,3.9094,0.690814,7.38467,5.84867,0.441965,0,15.739,2.611,3.804,7.242,8.325,1.979,7.242,1,1
2032,7.86667,M,Novel,31_0,Bulge,31_50,Skel,8.80975,3.166,0.735632,3.06067,5.13567,0.626581,1,1.956,3.245,3.981,7.752,5.403,2.252,7.752,0,1
2033,7.86667,M,Familiar,31_0,Bulge,31_50,Skel,5.589,2.59475,0.682939,1.57533,3.043,0.658896,1,1.91,1.392,1.424,4.814,2.809,1.506,1.91,0,1
2034,8,M,Novel,31_0,Bulge,31_50,Skel,4.8375,2.35,0.673043,1.79533,2.26867,0.558235,1,1.953,1.638,1.795,2.158,2.621,2.027,2.158,0,0
2035,8.36667,F,Familiar,31_50,Bulge,31_0,Skel,4.64125,3.41983,0.57576,2.26067,4.14233,0.646936,1,1.418,1.929,3.435,1.428,2.648,8.351,1.418,0,1
2036,10,F,Novel,31_50,Bulge,31_0,Skel,4.47575,1.8905,0.703043,0.882,3.62333,0.804232,1,1.396,0.637,0.613,1.406,6.915,2.549,1.406,0,1
2037,7,F,Familiar,31_0,Skel,31_50,Bulge,4.33975,1.9915,0.685449,4.90133,2.58633,0.345412,0,5.701,1.418,7.585,1.605,2.882,3.272,5.701,1,1
2038,10.4,M,Novel,31_0,Skel,31_50,Bulge,5.683,2.0546,0.734465,1.33633,8.952,0.870112,1,1.378,1.347,1.284,15.946,1.958,,15.946,0,1
2039,10.1333,M,Familiar,31_50,Skel,31_0,Bulge,3.18725,1.78867,0.640535,1.558,2.981,0.656753,1,1.558,,,1.292,4.522,3.129,1.558,0,1
2040,9.23333,M,Novel,31_50,Skel,31_0,Bulge,11.2295,3.6832,0.753016,2.99,6.49833,0.684876,1,2.321,3.89,2.759,8.311,8.777,2.407,8.311,0,1
2041,8.26667,F,Familiar,31_0,Bulge,31_50,Skel,10.6497,5.90975,0.64312,7.63633,3.19167,0.29476,0,11.446,9.092,2.371,3.11,2.766,3.699,11.446,1,0
2042,8.7,F,Familiar,31_50,Bulge,31_0,Skel,12.3395,4.87817,0.716677,9.77333,16.7283,0.631218,1,14.623,10.182,4.515,26.989,21.156,2.04,14.623,1,1
2043,9.9,M,Novel,31_50,Bulge,31_0,Skel,6.9205,9.1875,0.429631,3.42433,8.14367,0.703982,1,5.439,2.376,2.458,11.91,7.756,4.765,11.91,0,0
2044,9.76667,M,Novel,31_0,Skel,31_50,Bulge,2.60825,1.276,0.671494,2.53267,4.987,0.663194,1,2.509,1.348,3.741,7.038,1.916,6.007,7.038,1,1
2045,9.46667,M,Familiar,31_50,Skel,31_0,Bulge,3.51133,1.12075,0.758046,1.813,3.43333,0.654425,1,1.135,2.45,1.854,5.581,1.988,2.731,1.135,1,1
2046,12,F,Novel,31_50,Skel,31_0,Bulge,16.2375,5.12,0.760272,3.55867,14.43,0.802172,1,4.706,4.347,1.623,38.344,2.271,2.675,38.344,0,1
2047,10.4333,M,Familiar,31_0,Bulge,31_50,Skel,20.1465,11.2665,0.641343,11.623,13.8777,0.544208,1,22.646,3.676,8.547,5.779,13.321,22.533,22.646,1,1
2048,10.9333,F,Familiar,31_0,Skel,31_50,Bulge,6.43575,2.84633,0.693352,5.01933,1.347,0.211582,0,2.071,7.135,5.852,1.088,0.738,2.215,2.071,1,0
