model,score,CI_low,CI_high
Skeleton,0.790200335,0.612154635,0.981390599
Pixel,0.589157002,0.576593788,0.59252962
CorNet-S,0.526037211,0.502828327,0.55106639
ResNext-SAY,0.521598139,0.491990736,0.551205543
ResNet-IN,0.516921466,0.487654647,0.549409589
ResNet-SIN,0.524559543,0.498482107,0.542649111
FlowNet,0.632214099,0.557281723,0.707685761
Infants,0.773917638,0.61877672,1
