model,score,CI_low,CI_high
Skeleton,0.5202630128985617,0.421739514862624,0.6170737926323983
Pixel,0.5867452517850275,0.4511219597852633,0.7200604504968543
CorNet-S,0.6592513395745093,0.6016463646105098,0.7157468357280985
ResNext-SAY,0.6531548614285158,0.5582421721234475,0.7432501628123256
ResNet-IN,0.6199448053923682,0.5461664621011265,0.6924258294271336
ResNet-SIN,0.6062113998023279,0.5028079278152924,0.7096068052238816
FlowNet,0.5365900591258593,0.4798571935412363,0.5932344515291021
