Subj,Age,Gender,FirstTest,HabStart,HabEnd,HabRatio,Familiar,Novel,Ratio,NonPam,Familiar1,Familiar2,Familiar3,Novel1,Novel2,Novel3,NonPam_Familiar,NonPam_Novel
1001,12.2,F,Novel,15.745,4.2005,0.789401118,3.075,5.967,0.659920372,1,NA,4.912,1.238,13.014,1.43,3.457,0,1
1002,10.7,M,Familiar,16.66775,6.3322,0.724686358,4.637333333,6.427,0.580875486,1,6.46,3.262,4.19,6.224,9.356,3.701,0,1
1003,11.83333333,M,Familiar,12.18075,4.29275,0.739414818,6.753,23.72966667,0.778464264,1,8.76,7.118,4.381,55.713,10.149,5.327,1,1
1004,11.13333333,F,Novel,6.268,2.9065,0.683197994,2.834666667,3.962333333,0.582953264,1,3.126,3.629,1.749,4.458,4.043,3.386,0,1
1005,11.23333333,F,Novel,6.57325,2.76125,0.704188762,2.945,8.206666667,0.735913914,1,3.343,4.249,1.243,17.175,2.511,4.934,1,1
1006,11.13333333,F,Familiar,11.0025,3.7875,0.743914807,6.514333333,3.829333333,0.370210435,0,15.282,1.902,2.359,4.894,3.277,3.317,1,1
1007,7.366666667,F,Familiar,3.021,7.684,0.282204577,2.871333333,6.24,0.684861345,1,0.69,5.405,2.519,11.882,3.582,3.256,0,0
1008,7.633333333,M,Novel,6.0635,1.8112,0.769997587,2.047,5.164666667,0.716154379,1,2.412,1.682,NA,11.395,2.692,1.407,1,1
1009,9.966666667,F,Familiar,13.035,6.02025,0.684063447,9.118666667,6.774,0.426234322,0,12.356,8.244,6.756,2.628,2.879,14.815,1,1
1010,6.8,F,Novel,10.71825,4.86725,0.687706522,3.288666667,3.847333333,0.539144245,1,2.412,2.922,4.532,6.465,3.14,1.937,0,0
1011,9.8,F,Familiar,11.849,3.0195,0.796919662,4.898333333,9.421333333,0.657929654,1,6.433,4.911,3.351,4.437,20.47,3.357,1,1
1012,7.466666667,F,Novel,9.247,3.681,0.715269183,2.793,5.929333333,0.679787519,1,3.649,2.342,2.388,10.289,2.538,4.961,0,1
1013,6.466666667,M,Familiar,12.28,5.323666667,0.697581943,5.341333333,4.028333333,0.429933473,0,5.692,2.61,7.722,4.401,1.768,5.916,1,0
1014,11.3,F,Novel,30.45725,13.748,0.688996217,15.61533333,21.92066667,0.58399048,1,20.466,8.53,17.85,14.798,25.054,25.91,1,1
1015,11.06666667,M,Familiar,22.0935,9.54725,0.698260945,6.495333333,8.090333333,0.554676966,1,9.523,6.795,3.168,14.532,5.083,4.656,0,0
1016,8.433333333,M,Novel,5.7865,2.768,0.676427611,1.066666667,2.770333333,0.722005039,1,0.802,1.119,1.279,4.043,2.286,1.982,0,1
1017,9.766666667,F,Familiar,7.1225,3.382333333,0.678021228,6.269666667,7.561,0.546683698,1,9.836,3.285,5.688,14.189,4.052,4.442,1,1
1018,11.56666667,F,Novel,13.09175,6.14975,0.680391342,5.705,4.807,0.45728691,0,6.741,6.385,3.989,9.622,2.983,1.816,0,0
1019,11.63333333,M,Familiar,10.47075,5.6385,0.649983705,9.544,6.813,0.416518922,0,18.341,5.464,4.827,6.347,4.829,9.263,1,1
1020,11.76666667,F,Novel,3.5995,1.2125,0.748025769,3.2015,4.801,0.59993752,1,NA,2.863,3.54,6.863,2.502,5.038,1,1
1021,11,M,Novel,17.3,8.1895,0.678710842,6.748333333,8.414666667,0.55494735,1,11.262,3.398,5.585,16.537,4.223,4.484,0,1
1022,10.3,F,Familiar,9.052,3.84025,0.702127247,4.429666667,12.26,0.734586271,1,6.788,3.366,3.135,18.246,15.043,3.491,1,1
1023,8.466666667,M,Novel,2.940666667,1.01525,0.743359103,1.968666667,2.303,0.539133828,1,2.196,2.523,1.187,4.089,1.266,1.554,1,1
1024,9.633333333,M,Familiar,7.1275,3.14225,0.694028579,1.804,2.970666667,0.622172577,1,1.856,2.143,1.413,1.749,2.897,4.266,0,0
1025,9.566666667,F,Familiar,4.471666667,1.37,0.765477889,4.7245,7.868,0.624816359,1,7.587,NA,1.862,6.63,3.952,13.022,1,1
1026,9.033333333,F,Familiar,7.46225,2.16475,0.775137634,7.302666667,3.067666667,0.295811771,0,18.468,1.904,1.536,2.104,4.518,2.581,1,1
1027,8.6,F,Novel,9.921,2.45475,0.801648385,2.602666667,4.667,0.641982668,1,3.056,2.146,2.606,8.459,3.096,2.446,1,1
1028,7.766666667,M,Familiar,3.37325,3.8285,0.468393099,2.892666667,7.027,0.708390739,1,3.847,3.553,1.278,6.838,4.995,9.248,0,1
1029,6.466666667,M,Novel,3.65925,1.521,0.706384827,2.315666667,1.505,0.393910312,0,2.653,3.562,0.732,1.249,2.17,1.096,1,0
1030,6.566666667,M,Novel,15.332,5.606666667,0.732233826,3.490666667,7.614333333,0.685667117,1,3.333,2.15,4.989,6.238,14.063,2.542,0,1
1031,7.766666667,M,Familiar,5.8515,2.583666667,0.69370295,2.388,2.46,0.507425743,1,3.944,1.442,1.778,3.942,1.381,2.057,0,0
1032,9.566666667,F,Novel,4.95575,3.32,0.598827901,4.423,2.672333333,0.376632528,0,3.975,7.053,2.241,4.254,2.36,1.403,1,0
1033,10,M,Novel,12.32425,3.48025,0.77979373,3.257333333,7.428666667,0.695177491,1,5.663,2.62,1.489,17.164,2.967,2.155,0,1
1034,9.966666667,M,Familiar,9.45925,3.761166667,0.715503167,4.323333333,4.268333333,0.496799224,0,5.322,5.501,2.147,4.753,4.46,3.592,1,1
