model,score,CI_low,CI_high
Skeleton,0.5430482449798074,0.42902792147309793,0.6702313580563702
Pixel,0.5919135200925747,0.4230935614215366,0.7233922589849451
CorNet-S,0.6732513136684306,0.6252030660635992,0.7212995612732618
ResNext-SAY,0.7377838586945784,0.6783443192745122,0.7959170005340199
ResNet-IN,0.7085775757671193,0.6132380287412753,0.7920197424865952
ResNet-SIN,0.7241212638244281,0.6698044848841268,0.7782972732755624
FlowNet,0.6411761983639842,0.5293035020729633,0.7513474938748461
