skel1,sf1,skel2,sf2,skel_cond,sf_cond,dist
23,Skel,23,Skel,same,same,269.07578829794073
23,Skel,23,Bulge,same,diff,345.4990453268876
23,Skel,31,Skel,diff,same,384.70480417309716
23,Skel,31,Bulge,diff,diff,405.20918323425656
23,Skel,26,Skel,diff,same,411.09054640472147
23,Skel,26,Bulge,diff,diff,414.0743868516125
23,Bulge,23,Skel,same,diff,345.4990453268876
23,Bulge,23,Bulge,same,same,292.46233770444036
23,Bulge,31,Skel,diff,diff,416.5279509348504
23,Bulge,31,Bulge,diff,same,421.8334960731558
23,Bulge,26,Skel,diff,diff,412.9390107090656
23,Bulge,26,Bulge,diff,same,405.0930706331426
31,Skel,23,Skel,diff,same,384.7048041730973
31,Skel,23,Bulge,diff,diff,416.5279509348505
31,Skel,31,Skel,same,same,238.09527446270667
31,Skel,31,Bulge,same,diff,346.8261571895744
31,Skel,26,Skel,diff,same,419.645533873675
31,Skel,26,Bulge,diff,diff,424.72454984534727
31,Bulge,23,Skel,diff,diff,405.20918323425656
31,Bulge,23,Bulge,diff,same,421.83349607315574
31,Bulge,31,Skel,same,diff,346.8261571895744
31,Bulge,31,Bulge,same,same,260.1491176229505
31,Bulge,26,Skel,diff,diff,426.648257323887
31,Bulge,26,Bulge,diff,same,431.7684460137794
26,Skel,23,Skel,diff,same,411.0905464047216
26,Skel,23,Bulge,diff,diff,412.93901070906566
26,Skel,31,Skel,diff,same,419.645533873675
26,Skel,31,Bulge,diff,diff,426.648257323887
26,Skel,26,Skel,same,same,254.1021350447431
26,Skel,26,Bulge,same,diff,359.9398923308358
26,Bulge,23,Skel,diff,diff,414.0743868516125
26,Bulge,23,Bulge,diff,same,405.0930706331426
26,Bulge,31,Skel,diff,diff,424.72454984534727
26,Bulge,31,Bulge,diff,same,431.7684460137794
26,Bulge,26,Skel,same,diff,359.93989233083573
26,Bulge,26,Bulge,same,same,254.6444504643932
