31_0Skel_31_0Skel,31_0Skel_31_0Bulge,31_0Skel_31_50Skel,31_0Skel_31_50Bulge,31_0Bulge_31_0Skel,31_0Bulge_31_0Bulge,31_0Bulge_31_50Skel,31_0Bulge_31_50Bulge,31_50Skel_31_0Skel,31_50Skel_31_0Bulge,31_50Skel_31_50Skel,31_50Skel_31_50Bulge,31_50Bulge_31_0Skel,31_50Bulge_31_0Bulge,31_50Bulge_31_50Skel,31_50Bulge_31_50Bulge
0.0,304.7965840923073,294.8742258586341,329.84070351272186,304.7965840923073,0.0,333.6620484451865,295.14405787487954,294.8742258586341,333.6620484451865,0.0,314.266747185798,329.84070351272186,295.14405787487954,314.266747185798,0.0
0.0,303.67736684337206,293.9500607721179,331.14948496946096,303.67736684337206,0.0,335.2461925417654,296.07135624941105,293.9500607721179,335.2461925417654,0.0,313.43427615295,331.14948496946096,296.07135624941105,313.43427615295,0.0
0.0,301.5400005276204,294.6238007249403,329.4827501230698,301.5400005276204,0.0,335.2253241797178,294.8689564540096,294.6238007249403,335.2253241797178,0.0,312.65566044124205,329.4827501230698,294.8689564540096,312.65566044124205,0.0
0.0,300.1428224835786,293.30627212380364,330.57566489021775,300.1428224835786,0.0,334.9960082590707,295.24183197847765,293.30627212380364,334.9960082590707,0.0,311.83754629711166,330.57566489021775,295.24183197847765,311.83754629711166,0.0
0.0,299.2998432356697,294.9819499371626,329.9711484243762,299.2998432356697,0.0,336.0399302929202,296.8842324912036,294.9819499371626,336.0399302929202,0.0,313.59284747925784,329.9711484243762,296.8842324912036,313.59284747925784,0.0
0.0,299.60976025676075,294.48931307104795,329.8485892180283,299.60976025676075,0.0,336.03393940380886,294.58369532729273,294.48931307104795,336.03393940380886,0.0,314.3029696344251,329.8485892180283,294.58369532729273,314.3029696344251,0.0
0.0,297.6028800481796,295.8938670384316,329.0829511299263,297.6028800481796,0.0,335.94929586507925,297.4132049343474,295.8938670384316,335.94929586507925,0.0,315.3496483700754,329.0829511299263,297.4132049343474,315.3496483700754,0.0
0.0,298.34754393126275,294.552431902164,330.366405628635,298.34754393126275,0.0,336.3944845909465,297.146336416939,294.552431902164,336.3944845909465,0.0,315.38207016734805,330.366405628635,297.146336416939,315.38207016734805,0.0
0.0,297.8671160006353,296.5937458547995,330.9651254841644,297.8671160006353,0.0,336.31349090475766,298.2768986762375,296.5937458547995,336.31349090475766,0.0,315.2854872002145,330.9651254841644,298.2768986762375,315.2854872002145,0.0
0.0,297.7629830014805,295.2520778198308,329.9754716077021,297.7629830014805,0.0,335.1340219275593,298.08271650556657,295.2520778198308,335.1340219275593,0.0,314.73723201003816,329.9754716077021,298.08271650556657,314.73723201003816,0.0
0.0,298.93194970658146,297.89650263301246,330.50670283418606,298.93194970658146,0.0,336.41715555187744,300.248451781823,297.89650263301246,336.41715555187744,0.0,316.7631285096037,330.50670283418606,300.248451781823,316.7631285096037,0.0
0.0,299.6771112842107,297.0757626009786,329.49484722670167,299.6771112842107,0.0,337.264073722003,300.9172394182396,297.0757626009786,337.264073722003,0.0,316.4388939702408,329.49484722670167,300.9172394182396,316.4388939702408,0.0
0.0,299.06859225907715,297.153005571826,331.24903490583387,299.06859225907715,0.0,336.7807357281094,303.77279875640966,297.153005571826,336.7807357281094,0.0,316.9994103289527,331.24903490583387,303.77279875640966,316.9994103289527,0.0
0.0,301.40181286590314,299.2155439246219,332.88726727230375,301.40181286590314,0.0,337.34672633239757,304.70178608954706,299.2155439246219,337.34672633239757,0.0,317.7184055234975,332.88726727230375,304.70178608954706,317.7184055234975,0.0
0.0,301.6044918414992,301.37241693575874,333.9015606933583,301.6044918414992,0.0,338.25082796892906,307.2344896677639,301.37241693575874,338.25082796892906,0.0,319.2654696803666,333.9015606933583,307.2344896677639,319.2654696803666,0.0
0.0,302.41009641328486,301.09714489023645,336.3613325520361,302.41009641328486,0.0,337.7140536848243,310.86940851091146,301.09714489023645,337.7140536848243,0.0,320.9737221213956,336.3613325520361,310.86940851091146,320.9737221213956,0.0
0.0,302.7896744644464,303.20545569212544,337.70215453095614,302.7896744644464,0.0,339.31365938886563,312.0916900199568,303.20545569212544,339.31365938886563,0.0,321.59980345908855,337.70215453095614,312.0916900199568,321.59980345908855,0.0
0.0,305.0873799717721,304.562178934727,339.02318880555066,305.0873799717721,0.0,339.55197519604906,314.4470795221887,304.562178934727,339.55197519604906,0.0,323.40565018656355,339.02318880555066,314.4470795221887,323.40565018656355,0.0
0.0,304.02112246395154,306.0494459389259,338.9989651240796,304.02112246395154,0.0,340.4861121308935,315.1138067428372,306.0494459389259,340.4861121308935,0.0,324.38124061962725,338.9989651240796,315.1138067428372,324.38124061962725,0.0
