23Skel_23Skel,23Skel_23Bulge,23Skel_31Skel,23Skel_31Bulge,23Skel_26Skel,23Skel_26Bulge,23Bulge_23Skel,23Bulge_23Bulge,23Bulge_31Skel,23Bulge_31Bulge,23Bulge_26Skel,23Bulge_26Bulge,31Skel_23Skel,31Skel_23Bulge,31Skel_31Skel,31Skel_31Bulge,31Skel_26Skel,31Skel_26Bulge,31Bulge_23Skel,31Bulge_23Bulge,31Bulge_31Skel,31Bulge_31Bulge,31Bulge_26Skel,31Bulge_26Bulge,26Skel_23Skel,26Skel_23Bulge,26Skel_31Skel,26Skel_31Bulge,26Skel_26Skel,26Skel_26Bulge,26Bulge_23Skel,26Bulge_23Bulge,26Bulge_31Skel,26Bulge_31Bulge,26Bulge_26Skel,26Bulge_26Bulge
0.0,358.08036762505793,369.40386645500575,402.4851784122363,424.70448708864774,438.88059582294886,358.08036762505793,0.0,443.2684311427312,444.53164207839336,447.12921589701324,443.11146770217437,369.40386645500575,443.2684311427312,0.0,318.6978677686216,456.9764271209204,458.3187706176146,402.4851784122363,444.53164207839336,318.6978677686216,0.0,469.1749748637574,463.4841479485547,424.70448708864774,447.12921589701324,456.9764271209204,469.1749748637574,0.0,333.87260194285665,438.88059582294886,443.11146770217437,458.3187706176146,463.4841479485547,333.87260194285665,0.0
0.0,354.4374459164803,370.70075883900944,402.94287391087516,425.8018378217005,438.68173227158627,354.4374459164803,0.0,441.39310461701973,443.11579494076017,445.2777826331846,442.3276337917565,370.70075883900944,441.39310461701973,0.0,319.2315358786042,456.3841150725184,457.57634983094096,402.94287391087516,443.11579494076017,319.2315358786042,0.0,468.40103887389427,462.82843078342154,425.8018378217005,445.2777826331846,456.3841150725184,468.40103887389427,0.0,334.53852131118055,438.68173227158627,442.3276337917565,457.57634983094096,462.82843078342154,334.53852131118055,0.0
0.0,351.658640655229,371.2981809119838,402.58656035135596,426.2154691524275,438.81671171458856,351.658640655229,0.0,438.6235053416296,442.4052180900524,443.811932814474,440.0328783226542,371.2981809119838,438.6235053416296,0.0,319.67376314609015,455.4548656283492,456.50489166695723,402.58656035135596,442.4052180900524,319.67376314609015,0.0,469.0322207607966,462.0842263712754,426.2154691524275,443.811932814474,455.4548656283492,469.0322207607966,0.0,334.26256649738957,438.81671171458856,440.0328783226542,456.50489166695723,462.0842263712754,334.26256649738957,0.0
0.0,346.7796341888661,372.019065417601,403.0896578290677,425.54865845456317,438.58653184697516,346.7796341888661,0.0,436.70302246344323,440.50804042662725,442.5952581180718,437.9042313346669,372.019065417601,436.70302246344323,0.0,319.82491910384255,456.134979620916,456.7378847072653,403.0896578290677,440.50804042662725,319.82491910384255,0.0,468.3900202496266,461.6964369578325,425.54865845456317,442.5952581180718,456.134979620916,468.3900202496266,0.0,334.2693498843582,438.58653184697516,437.9042313346669,456.7378847072653,461.6964369578325,334.2693498843582,0.0
0.0,344.68328085042043,371.9521691229114,402.7964596622998,426.79205119635935,438.00703061919523,344.68328085042043,0.0,435.70294143458585,440.16793889322895,440.65075219984004,436.95004601662384,371.9521691229114,435.70294143458585,0.0,319.9709823187057,456.5388923851374,455.1940978595138,402.7964596622998,440.16793889322895,319.9709823187057,0.0,468.7164792723834,461.1352271574917,426.79205119635935,440.65075219984004,456.5388923851374,468.7164792723834,0.0,334.9380734697107,438.00703061919523,436.95004601662384,455.1940978595138,461.1352271574917,334.9380734697107,0.0
0.0,345.03671662304754,374.682870922748,402.8569970307893,427.45856148560347,437.7924493062783,345.03671662304754,0.0,437.04814700912084,441.63331639523875,439.7496519634394,436.459883217873,374.682870922748,437.04814700912084,0.0,319.7949866556561,453.66959757170673,454.4726533140142,402.8569970307893,441.63331639523875,319.7949866556561,0.0,467.64211192844914,459.1912609053064,427.45856148560347,439.7496519634394,453.66959757170673,467.64211192844914,0.0,333.65007107155395,437.7924493062783,436.459883217873,454.4726533140142,459.1912609053064,333.65007107155395,0.0
0.0,343.28271222712203,373.8885009679099,402.6998637734768,426.2538140775427,436.8477462083665,343.28271222712203,0.0,437.96879407162004,441.3884737395276,440.1498584960063,435.8311036997726,373.8885009679099,437.96879407162004,0.0,321.2684383032397,454.9375992387996,453.4843169450805,402.6998637734768,441.3884737395276,321.2684383032397,0.0,467.30814330936363,459.50819158995205,426.2538140775427,440.1498584960063,454.9375992387996,467.30814330936363,0.0,333.17890708964325,436.8477462083665,435.8311036997726,453.4843169450805,459.50819158995205,333.17890708964325,0.0
0.0,342.4814571653619,374.2012404607409,403.02960271359893,427.5324594357156,438.1954765616311,342.4814571653619,0.0,436.9084834136043,441.0270088983697,439.8484936072499,435.68063591757607,374.2012404607409,436.9084834136043,0.0,319.0739653651943,453.63791534853414,452.80730059210083,403.02960271359893,441.0270088983697,319.0739653651943,0.0,466.43489373977536,459.1394244490329,427.5324594357156,439.8484936072499,453.63791534853414,466.43489373977536,0.0,333.6116410029016,438.1954765616311,435.68063591757607,452.80730059210083,459.1394244490329,333.6116410029016,0.0
0.0,341.08603259506583,374.7895123196492,401.89202785383065,427.8046893246528,437.0115080736386,341.08603259506583,0.0,437.4482756473263,441.73147238982864,439.3138009270499,433.67378541111384,374.7895123196492,437.4482756473263,0.0,320.88962554283415,453.8027301351066,452.6221431890891,401.89202785383065,441.73147238982864,320.88962554283415,0.0,466.0757116741609,457.8954294191977,427.8046893246528,439.3138009270499,453.8027301351066,466.0757116741609,0.0,333.5126723529067,437.0115080736386,433.67378541111384,452.6221431890891,457.8954294191977,333.5126723529067,0.0
0.0,339.7839671329214,373.2454434916091,402.784440512253,425.9516344355324,436.17356380627666,339.7839671329214,0.0,434.45582217425005,440.74544549180564,437.4820367466006,433.2678912477879,373.2454434916091,434.45582217425005,0.0,320.55161003421506,451.82792349507884,451.6172496177306,402.784440512253,440.74544549180564,320.55161003421506,0.0,465.3794023507866,457.49334129335915,425.9516344355324,437.4820367466006,451.82792349507884,465.3794023507866,0.0,334.12147859245675,436.17356380627666,433.2678912477879,451.6172496177306,457.49334129335915,334.12147859245675,0.0
0.0,336.5406233133348,374.71871357227843,402.170794457868,426.0307518056515,435.01989610302326,336.5406233133348,0.0,434.6786661357696,440.1448407368785,437.16336985222955,431.99021279400716,374.71871357227843,434.6786661357696,0.0,319.5666187392158,453.01000310785105,452.5374705958888,402.170794457868,440.1448407368785,319.5666187392158,0.0,464.85116556768355,455.6407878053282,426.0307518056515,437.16336985222955,453.01000310785105,464.85116556768355,0.0,334.4587855692126,435.01989610302326,431.99021279400716,452.5374705958888,455.6407878053282,334.4587855692126,0.0
0.0,336.8314968110161,373.0099590570455,401.41266776956616,424.81957836194925,433.26193549949113,336.8314968110161,0.0,434.3939152811498,439.0474416048247,435.5556661351348,430.6224368567705,373.0099590570455,434.3939152811498,0.0,319.3917956578477,452.247159960308,450.4059847589586,401.41266776956616,439.0474416048247,319.3917956578477,0.0,463.2080082212998,454.3342897204368,424.81957836194925,435.5556661351348,452.247159960308,463.2080082212998,0.0,334.8872025089153,433.26193549949113,430.6224368567705,450.4059847589586,454.3342897204368,334.8872025089153,0.0
0.0,335.66472766871226,372.7637144400872,401.1487538410952,425.0328702175655,431.355591509235,335.66472766871226,0.0,433.0545509467322,438.2397814535938,434.9062197720694,429.21693926619537,372.7637144400872,433.0545509467322,0.0,319.13053298378594,451.2505197409948,450.0396942769236,401.1487538410952,438.2397814535938,319.13053298378594,0.0,462.61846982977784,454.3959060042606,425.0328702175655,434.9062197720694,451.2505197409948,462.61846982977784,0.0,334.4734263774036,431.355591509235,429.21693926619537,450.0396942769236,454.3959060042606,334.4734263774036,0.0
0.0,334.40451181743083,371.6863441181235,400.17058170913936,423.7190208967813,430.4437617700175,334.40451181743083,0.0,429.85954121123393,436.0112406087035,433.5528552031225,428.81515570019025,371.6863441181235,429.85954121123393,0.0,318.2704218398418,451.39371743304525,448.86462134188866,400.17058170913936,436.0112406087035,318.2704218398418,0.0,463.06995160217843,454.3808526599545,423.7190208967813,433.5528552031225,451.39371743304525,463.06995160217843,0.0,333.95993628766774,430.4437617700175,428.81515570019025,448.86462134188866,454.3808526599545,333.95993628766774,0.0
0.0,333.4718403545974,371.11332022169904,400.15201099330534,422.82730629950487,429.4450795812525,333.4718403545974,0.0,428.15963094706626,435.35087672129777,432.2852241911041,427.5585826799586,371.11332022169904,428.15963094706626,0.0,318.28718116387597,450.19885901741924,448.32630810429947,400.15201099330534,435.35087672129777,318.28718116387597,0.0,462.4932034479745,454.04718132093535,422.82730629950487,432.2852241911041,450.19885901741924,462.4932034479745,0.0,332.40964960639576,429.4450795812525,427.5585826799586,448.32630810429947,454.04718132093535,332.40964960639576,0.0
0.0,332.5273582979649,370.41042935463776,398.6586398321071,422.645818685709,427.216723818842,332.5273582979649,0.0,426.5987234816189,435.2840050297532,430.5011308324857,426.0785018775758,370.41042935463776,426.5987234816189,0.0,318.35367903835726,450.15887713670986,447.59580906681475,398.6586398321071,435.2840050297532,318.35367903835726,0.0,461.8200630373236,452.95587866196286,422.645818685709,430.5011308324857,450.15887713670986,461.8200630373236,0.0,333.4189740536918,427.216723818842,426.0785018775758,447.59580906681475,452.95587866196286,333.4189740536918,0.0
0.0,332.22902647016474,371.41128154093104,399.65020846799297,420.38014160770064,426.4856615537333,332.22902647016474,0.0,425.1558663287513,433.83264292597806,429.4708922384474,425.4039095101413,371.41128154093104,425.1558663287513,0.0,316.16176769830724,448.7705500222731,446.178068811231,399.65020846799297,433.83264292597806,316.16176769830724,0.0,461.20458023342024,453.057580546584,420.38014160770064,429.4708922384474,448.7705500222731,461.20458023342024,0.0,332.900785833266,426.4856615537333,425.4039095101413,446.178068811231,453.057580546584,332.900785833266,0.0
0.0,331.088560505351,370.9419087178941,400.3416585591597,421.5218535471621,424.15385665242485,331.088560505351,0.0,422.2200814950741,431.55688371558267,427.18462186392014,421.3579781704851,370.9419087178941,422.2200814950741,0.0,317.1660003815293,449.0067419226341,444.6504642115133,400.3416585591597,431.55688371558267,317.1660003815293,0.0,461.61809494274655,452.86906007669364,421.5218535471621,427.18462186392014,449.0067419226341,461.61809494274655,0.0,332.7064794437076,424.15385665242485,421.3579781704851,444.6504642115133,452.86906007669364,332.7064794437076,0.0
0.0,329.106833308215,371.5163596040805,399.1599932818466,418.4965009302567,422.1263938225981,329.106833308215,0.0,419.9563918540489,429.9565220683411,425.68569255564245,421.535690025967,371.5163596040805,419.9563918540489,0.0,316.5048644870315,448.94627096138197,444.9403301858024,399.1599932818466,429.9565220683411,316.5048644870315,0.0,459.79943123932543,451.1795288827001,418.4965009302567,425.68569255564245,448.94627096138197,459.79943123932543,0.0,331.9080234724046,422.1263938225981,421.535690025967,444.9403301858024,451.1795288827001,331.9080234724046,0.0
0.0,330.70466235458815,368.5697614276918,399.1344225791356,417.2659478105693,419.31130948273153,330.70466235458815,0.0,417.7246141368639,429.38270468720964,424.58310949522496,419.902649623905,368.5697614276918,417.7246141368639,0.0,317.2230035969725,448.5411392205267,443.56891161912364,399.1344225791356,429.38270468720964,317.2230035969725,0.0,459.2022763753918,450.97303903621776,417.2659478105693,424.58310949522496,448.5411392205267,459.2022763753918,0.0,330.86390700383436,419.31130948273153,419.902649623905,443.56891161912364,450.97303903621776,330.86390700383436,0.0
0.0,331.016045741974,368.79625682111697,398.73292754022816,415.67577626655833,419.01563538939155,331.016045741974,0.0,416.63843893388685,427.2909227793399,422.8182968083361,418.6883592784923,368.79625682111697,416.63843893388685,0.0,314.75492136460787,447.7453416111617,442.5784560591133,398.73292754022816,427.2909227793399,314.75492136460787,0.0,458.1370887738765,449.64062876234345,415.67577626655833,422.8182968083361,447.7453416111617,458.1370887738765,0.0,331.12726547287116,419.01563538939155,418.6883592784923,442.5784560591133,449.64062876234345,331.12726547287116,0.0
0.0,330.081115247191,368.75045877603736,398.6260774379539,415.159229433993,417.29805079485016,330.081115247191,0.0,416.0532127802599,426.60765989532894,422.96994420769045,417.8552507493546,368.75045877603736,416.0532127802599,0.0,315.289098622181,446.65843843689925,441.6173163246912,398.6260774379539,426.60765989532894,315.289098622181,0.0,457.7375941727621,449.67354746279506,415.159229433993,422.96994420769045,446.65843843689925,457.7375941727621,0.0,331.9820526917747,417.29805079485016,417.8552507493546,441.6173163246912,449.67354746279506,331.9820526917747,0.0
0.0,333.0748236440664,368.2426912440323,399.5123269804622,414.36115700351337,415.3884909377739,333.0748236440664,0.0,415.137081249528,425.4415304258219,421.7446694304651,417.8354993395136,368.2426912440323,415.137081249528,0.0,314.730876195719,444.55107614206656,440.37902105764874,399.5123269804622,425.4415304258219,314.730876195719,0.0,456.09647749143363,448.5463885086878,414.36115700351337,421.7446694304651,444.55107614206656,456.09647749143363,0.0,330.1685247733483,415.3884909377739,417.8354993395136,440.37902105764874,448.5463885086878,330.1685247733483,0.0
0.0,334.2864951164456,371.3924865546031,401.1516087280053,414.3342133363708,414.85993015048604,334.2864951164456,0.0,414.8420975758786,425.29697602960624,422.14120739407286,416.24122022508595,371.3924865546031,414.8420975758786,0.0,315.3287236010048,444.0473897559615,439.85854453870536,401.1516087280053,425.29697602960624,315.3287236010048,0.0,455.94567263489364,448.2896507393609,414.3342133363708,422.14120739407286,444.0473897559615,455.94567263489364,0.0,332.09696637997797,414.85993015048604,416.24122022508595,439.85854453870536,448.2896507393609,332.09696637997797,0.0
