skel1,sf1,skel2,sf2,skel_cond,sf_cond,dist
23,Skel,23,Skel,same,same,0.0
23,Skel,23,Bulge,same,diff,329.8928509596433
23,Skel,31,Skel,diff,same,386.855944087527
23,Skel,31,Bulge,diff,diff,406.04723938287566
23,Skel,26,Skel,diff,same,412.8257170679294
23,Skel,26,Bulge,diff,diff,413.9332363258591
23,Bulge,23,Skel,same,diff,329.8928509596433
23,Bulge,23,Bulge,same,same,0.0
23,Bulge,31,Skel,diff,diff,416.9967385061333
23,Bulge,31,Bulge,diff,same,424.5656293798854
23,Bulge,26,Skel,diff,diff,413.62538500142136
23,Bulge,26,Bulge,diff,same,406.0754137303614
31,Skel,23,Skel,diff,same,386.855944087527
31,Skel,23,Bulge,diff,diff,416.9967385061333
31,Skel,31,Skel,same,same,0.0
31,Skel,31,Bulge,same,diff,320.091473878385
31,Skel,26,Skel,diff,same,420.0870063568347
31,Skel,26,Bulge,diff,diff,424.89502355494375
31,Bulge,23,Skel,diff,diff,406.04723938287566
31,Bulge,23,Bulge,diff,same,424.5656293798854
31,Bulge,31,Skel,same,diff,320.091473878385
31,Bulge,31,Bulge,same,same,0.0
31,Bulge,26,Skel,diff,diff,428.64811579557085
31,Bulge,26,Bulge,diff,same,431.2638094860312
26,Skel,23,Skel,diff,same,412.8257170679294
26,Skel,23,Bulge,diff,diff,413.62538500142136
26,Skel,31,Skel,diff,same,420.0870063568347
26,Skel,31,Bulge,diff,diff,428.64811579557085
26,Skel,26,Skel,same,same,0.0
26,Skel,26,Bulge,same,diff,330.5147857127975
26,Bulge,23,Skel,diff,diff,413.9332363258591
26,Bulge,23,Bulge,diff,same,406.0754137303614
26,Bulge,31,Skel,diff,diff,424.89502355494375
26,Bulge,31,Bulge,diff,same,431.2638094860312
26,Bulge,26,Skel,same,diff,330.5147857127975
26,Bulge,26,Bulge,same,same,0.0
