Figure_31_Skel_0,Figure_31_Skel_0,Same,Same,0.8446666666666669,0.788
Figure_31_Skel_0,Figure_31_Bulge_0,Same,Diff,0.8499999999999999,0.0
Figure_31_Skel_0,Figure_31_Skel_50,Diff,Same,0.8386666666666667,0.0
Figure_31_Skel_0,Figure_31_Bulge_50,Diff,Diff,0.8366666666666667,0.0
Figure_31_Bulge_0,Figure_31_Skel_0,Same,Diff,0.8473333333333333,0.0
Figure_31_Bulge_0,Figure_31_Bulge_0,Same,Same,0.8633333333333333,0.8066666666666666
Figure_31_Bulge_0,Figure_31_Skel_50,Diff,Diff,0.8513333333333334,0.0
Figure_31_Bulge_0,Figure_31_Bulge_50,Diff,Same,0.8553333333333335,0.0
Figure_31_Skel_50,Figure_31_Skel_0,Diff,Same,0.8493333333333333,0.0
Figure_31_Skel_50,Figure_31_Bulge_0,Diff,Diff,0.842,0.0
Figure_31_Skel_50,Figure_31_Skel_50,Same,Same,0.8433333333333334,0.7613333333333333
Figure_31_Skel_50,Figure_31_Bulge_50,Same,Diff,0.842,0.0
Figure_31_Bulge_50,Figure_31_Skel_0,Diff,Diff,0.85,0.0
Figure_31_Bulge_50,Figure_31_Bulge_0,Diff,Same,0.852,0.0
Figure_31_Bulge_50,Figure_31_Skel_50,Same,Diff,0.8373333333333333,0.0
Figure_31_Bulge_50,Figure_31_Bulge_50,Same,Same,0.8619999999999999,0.7619999999999999
